Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC
Date,,,,,,,,,,,,,,,,,,,,
2022-04-20,165.6566619873047,59.4000129699707,21.445314407348633,4459.4501953125,166.04403312932115,59.65216474911961,22.631285322979373,4488.2900390625,163.86397250757153,58.895709411672875,21.163796404887236,4448.759765625,164.17027076375663,58.93173207592568,22.47854673100078,4472.259765625,8044900,14827100,468974000,4290450000
2022-04-21,165.17922973632812,59.62515640258789,20.148534774780273,4393.66015625,166.53950312591692,60.33658864541891,22.353762178727116,4512.93994140625,164.45854972195093,59.18389073776108,19.965846713738475,4384.47021484375,165.69270513996082,59.418034647323296,21.671927949841855,4489.169921875,6969200,15120400,656209000,4636890000
2022-04-22,163.53968811035156,58.76062774658203,19.481674194335938,4271.77978515625,164.99005170742063,59.74221960950814,20.45101671619488,4385.830078125,163.39556309907078,58.69758980006954,19.466700418707752,4267.6201171875,164.37748260844907,59.50808259138795,20.26832865634669,4385.830078125,8003600,14902200,624713000,4651940000
2022-04-25,167.5664825439453,59.38199996948242,19.86801528930664,4296.1201171875,168.17906542154833,60.51668287813055,19.91094113029404,4299.02001953125,164.04418254458736,58.3373634077961,19.063391878151013,4200.81982421875,164.2603769459997,60.336576442966745,19.16920986462342,4255.33984375,11176500,25082000,641566000,5240040000
2022-04-26,166.3683624267578,58.58052062988281,18.755916595458984,4175.2001953125,168.07097589055164,59.76924108686056,19.754208935720314,4278.14013671875,165.9179390754887,58.57151324601958,18.638118068842683,4175.0400390625,166.7467301381541,59.00377148276378,19.684328776556665,4278.14013671875,10190000,21982600,653143000,4689970000
2022-04-27,164.04417419433594,59.03980255126953,18.38355255126953,4183.9599609375,166.4944780883632,59.6881968692985,19.134267220532678,4240.7099609375,163.7198688628962,58.53549891307889,18.258766021013585,4162.89990234375,165.97198540183092,58.53549891307889,18.566238691083928,4186.52001953125,11090100,16971000,499460000,4769680000
2022-04-28,165.26934814453125,59.607139587402344,19.74821662902832,4287.5,166.20622270129462,59.688185426307555,20.00278221585731,4308.4501953125,163.8820364741834,58.08521470883585,18.45842324109603,4188.6298828125,164.17931754640077,58.229305361050166,18.93460792239906,4222.580078125,9403900,22010600,570327000,4854180000
2022-04-29,162.5668182373047,58.18428039550781,18.51532745361328,4131.93017578125,164.44958473479917,59.46305412778641,20.093626894168178,4269.68017578125,162.3325892739017,58.076212396910066,18.485378000301736,4124.27978515625,164.40453964600388,59.318970333610466,19.368866880032883,4253.75,8463100,20137100,500435000,5084030000
2022-05-02,160.92724609375,57.13063430786133,19.499645233154297,4155.3798828125,163.42259517994626,58.81465428652226,19.54057368061249,4169.81005859375,159.47688242761495,56.356167670061424,18.359595182176143,4062.510009765625,162.57579712389077,58.78763900709616,18.509338652446186,4130.60986328125,7145400,24970300,572049000,5163790000
2022-05-03,160.61195373535156,56.80644226074219,19.568527221679688,4175.47998046875,162.71994548171358,57.580908920518155,19.791147908013567,4200.10009765625,160.06243669290552,56.4372151097873,19.10032821568976,4147.080078125,161.07139435437543,57.382791140254675,19.36687248877621,4159.77978515625,5898700,21686300,475751000,4582050000
2022-05-04,162.33258056640625,58.562503814697266,20.299274444580078,4300.169921875,162.6028373388502,58.64355652539104,20.365161718492175,4307.66015625,159.58499524724851,56.68036258440076,18.718977614571205,4148.91015625,160.48584199150807,56.73439657975985,19.888977026520188,4181.18017578125,5923000,19780200,648855000,5136360000
